Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Training Time (s)
Logistic Regression,0.6706730769230769,0.741643658333895,0.6706730769230769,0.6816605037479899,8.292627334594727
Decision Tree,0.680103550295858,0.7425166038398974,0.6801035502958579,0.6882521578329496,4.742641925811768
Random Forest,0.6924926035502958,0.7433379736906457,0.6924926035502958,0.6967237220076168,7.4335315227508545
